LEA,SCHOOL_NAME,1617_ACT_COMP,1718_ACT_COMP,1819_ACT_COMP,1920_ACT_COMP,2021_ACT_COMP,2122_ACT_COMP,2223_ACT_COMP,1617_ESSA,1718_ESSA,1819_ESSA,2021_ESSA,2122_ESSA,2223_ESSA,1617_SQSS,1718_SQSS,1819_SQSS,2021_SQSS,2122_SQSS,2223_SQSS
101001,Dewitt Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,63.47,68.43,72.04,67.81,67.73,69.78,46.45,54.05,53.83,57.04,55.68,55.42
101003,Dewitt Middle School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,73.94,71.62,73.55,71.51,70.3,68,53.8,53.22,57.06,53.45,51.09,49.51
101004,Dewitt High School,18.39,18.85,19.13,18.63,17.7,18.34,19.19,63.3,64.95,69.05,64.32,67.39,67.89,50.54,55.46,57.47,48.65,57.22,57.91
101008,Gillett Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,88.52,81.48,81.06,81.8,N/A,N/A,66.57,69.66,68.9,67.13,N/A,N/A
104021,Park Avenue Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,71.71,67.98,65.63,59.17,57.58,63.41,64.76,59.78,57.79,59.03,47.95,50.49
104023,Meekins Middle School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,71.29,65.25,65.11,61.81,56.92,58.85,44.78,48.05,47.5,46.44,41.34,36.63
104025,Stuttgart High School,18.66,19.16,18.68,18.57,18.17,17.26,17.91,64.52,64.16,63.4,60.08,65.34,62.96,48.41,53.32,55.98,52.92,55.17,57
104026,Stuttgart Junior High School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,66.97,66.7,69.14,60.97,62.11,67.56,48.71,50.57,53.1,47.03,49.9,57.74
201001,Crossett Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,62.74,65.3,66.23,61.31,56.85,58.27,48.97,48.96,57.72,54.31,43.42,45.97
201006,Crossett High School,19.21,18.64,18.1,17.5,17.68,17.92,17.66,60.99,60.82,62.84,60.78,60.29,56.75,48.34,50.14,52.55,47.92,47.54,47.34
201008,Crossett Middle School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,67.94,62.99,63.99,55.58,57.3,56.71,48.34,45.59,49.5,43.14,37.86,38.33
203017,Hamburg Middle School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,66.88,68.32,67.22,60.7,66.54,62.27,46.2,52.21,51.08,51.72,46.21,41.96
203018,Hamburg High School,19.61,17.9,19.42,17.9,17.43,17.2,17.75,65.53,64.5,63.47,59.21,63.12,63.32,52.94,49.3,51.27,38.75,44.72,48.29
203019,Wilmot Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
203020,Noble/Allbritton Elementary Sc,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68.34,65.42,67.26,62.54,63.66,66.71,44.14,42.53,45.07,72.38,38.91,44.58
203027,Portland Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,72.61,70.28,79.31,62.79,64.74,62.92,54.13,60.94,71.2,53.51,46.21,44.42
302006,Amanda Gist Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,78.69,76.46,73.11,69.96,70.49,73.49,64.26,61.52,57.96,61.59,58.36,55.09
302007,Cotter High School,20.17,20.91,20.76,19.5,19.6,19.05,18.23,72.6,66.84,67.08,65.01,65.62,65.4,58.15,54.64,53.98,53.97,52.85,53.53
303013,Nelson Wilks Herron Elementary,N/A,N/A,N/A,N/A,N/A,N/A,N/A,74.6,74.34,76.08,74.03,71.35,68.84,71.69,70.3,74.86,83.03,59.01,46.93
303014,Pinkston Middle School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,79.24,72.92,74.58,74.01,72.67,70.87,55.49,53.61,57.18,55.18,53.04,47.81
303018,Mountain Home Kindergarten,N/A,N/A,N/A,N/A,N/A,N/A,N/A,74.2,73.49,75.1,73.37,72.08,69.25,69.04,64.69,68.33,78.65,63.9,49.66
303019,Mountain Home Jr. High School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,73.6,73.43,65.81,N/A,N/A,N/A,57.41,57.74,48.73,N/A,N/A,N/A
303024,Hackler Intermediate School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,72.27,72.29,73.62,70.13,70.28,69.09,56.15,56.66,58.45,57.08,51.91,48.63
303703,Mtn Home High Career Academics,20.91,20.64,20.7,20.68,20.93,19.98,19.85,72.22,69.54,68.64,67.16,68.03,67.76,56.61,54.85,57.67,53.52,55.59,54.54
304021,Norfork Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,80.01,77.88,74.08,68.49,67.24,70.58,60.7,60.84,59.03,66.29,56.79,58.01
304022,Norfork High School,21.92,20.26,20.91,19.57,19.63,22,18.5,77.47,73.6,73.9,65.34,64.2,63.18,60.14,58.03,58.2,52.38,58.93,47.54
401001,Thomas Jefferson Elem. School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,77.84,76.92,78.02,78.75,81.31,78.5,64.83,65.04,61.9,71.68,68.63,56.8
401002,Washington Junior High School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,80.22,80.92,81.82,81.3,83.28,83.89,63.01,63.29,64.1,65.31,64.47,62.99
401003,Bentonville High School,23.11,23.83,22.97,23.19,23.09,22.94,22.9,78.33,78.4,78.21,77.55,78.72,78.76,62.23,65.71,65.3,66.04,66.8,68.02
401004,R.E. Baker Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.53,75.81,75.95,70.54,75.49,75.24,64.5,61.64,58.89,61.2,57.01,52.29
401005,Old High Middle School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,82.32,76.06,77.06,75.57,76.41,77.56,65.41,61.15,61.14,60.95,59.67,60.27
401006,Sugar Creek Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,79.89,82.53,79.38,80.47,83.92,79.6,66.85,69.08,67.3,70.68,68.22,61.37
401007,Apple Glen Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,77.28,80.76,82.9,81.53,77.62,84.18,66.69,70.48,67.6,72.44,61.24,66.5
401008,Ardis Ann Middle School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,80.35,80.56,78.98,76.23,77.88,77.8,64.57,63.78,61.88,59.19,60.74,59.23
401009,Elm Tree Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.25,82.72,79.66,83.69,78.11,74.84,68.57,69.06,62.42,77.02,63.29,60.45
401010,Lincoln Junior High School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,83.48,81.53,81.98,81.16,82.43,85.28,66.22,64.61,64.8,65.31,64.96,66.62
401011,Mary Mae Jones Elem. School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.1,76.16,75.81,71.69,75.61,69.09,60.3,61.78,56.95,64.33,55.51,50.97
401012,Central Park At Morning Star,N/A,N/A,N/A,N/A,N/A,N/A,N/A,85.28,86.61,84.23,75.46,77.56,77.9,75.6,74.2,70.7,68.6,60.5,62.52
401013,Ruth Barker Middle School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,83.96,77.06,82.05,72.16,76.2,77.01,68.39,60.97,67.87,57.06,59.04,59.36
401014,Centerton Gamble Elementary,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.27,77.73,79.99,78.98,78.68,70.1,59.83,58.61,62.99,69.54,62.06,56.6
401015,Cooper Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,82.8,85.15,85.65,79.81,78.71,73.78,65.96,64.78,65.26,65.9,59.14,56.66
401016,Willowbrook Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,89.38,87.5,89.77,88.91,84.94,85.1,76.27,76.33,75.42,82.07,69.57,69.59
401017,Bright Field Middle School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,89.12,87.55,86.98,85.66,87.82,84.91,75.13,75.26,75.01,72.5,72.17,68.32
401018,J. William Fulbright Junior High School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.53,86.13,82.18,85.27,84.43,84.55,72.91,70.79,65.62,72.86,69.18,68.55
402008,Decatur Northside Elementary,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68.52,67.53,69.71,67.63,63.11,60.53,58.84,58.21,48.72,66.26,42.95,41.51
402009,Decatur High School,19.7,17.48,16.16,15.19,15.96,17.52,15.89,59.86,53.96,59.1,57.14,57.55,63.69,48.82,46.11,47.23,46.19,44.55,45.6
403013,Gentry Intermediate School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,74.21,66.01,70.17,66.13,62.3,66.77,61.88,47.16,49.39,49.46,40.61,42.31
403014,Gentry High School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
403015,Gentry Middle School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,78.01,74.78,74.25,66.45,65.62,66.88,58.59,53.4,52.37,47.05,44.07,49.22
403016,Gentry Primary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,74.57,68.43,72,70.13,63.71,66.88,64.26,63.35,61.55,76.09,50,43.07
404022,Gravette High School,21.31,20.71,20.25,20.03,20.84,19.92,19.92,66.81,70.92,73.8,67.18,70.22,66.84,51.54,53.73,58.34,56.37,55.11,57.29
404023,Glenn Duffy Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,70.85,74.58,71.24,71.54,68.81,68.09,58.85,69.07,57.64,75.73,57.94,53.41
404024,Gravette Middle School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,82.11,78.9,79.61,78.2,77.91,76.23,64.9,63.44,63.8,65.05,59.06,58.56
404025,Gravette Upper Elementary,N/A,N/A,N/A,N/A,N/A,N/A,N/A,70.17,72.72,71.02,68.22,67.8,68.2,54.27,56.63,56.23,53.64,51.17,54.13
405031,Eastside Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.46,81.36,81.33,77.81,79.18,81.34,63.59,61.01,59.8,61.32,62.68,61.19
405032,Garfield Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.15,82.69,74.83,66.48,73.02,79.57,63.39,62.74,57.97,62.34,55.23,56.2
405033,Lowell Elementary School,N/A,N/A,N/A,N/A,N/A,N/A,N/A,83.07,79.39,79.55,72.17,67.58,69.1,64.73,59.33,61.27,58.09,48.94,47.31
